id,real_monthly_payment,monthly_difference,difference_surplus,class,total_credits,delinquency_accounts,current_accounts,current_accounts_percentage,delinquency_accounts_percentage,worst_delinquency,worst_delinquency_past_due_balance,credit_limit,maximum_number_of_credit_payments
0,96773,3117600,3020827,1,30,7,23,76.66666667,23.33333333,4,4342,513069,1000
1,4927,65208,60281,0,8,5,3,37.5,62.5,73,20414,247552,360
2,6736,64960,58224,0,8,2,6,75,25,2,408,1475,20
3,15082,-60808,-75890,1,2,0,2,100,0,0,0,25000,36
4,0,68430,68430,1,6,0,6,100,0,0,0,48000,0
5,39135,-86258,-125393,0,17,5,12,70.58823529,29.41176471,84,8263,141384,360
6,21688,52608,30920,1,16,0,16,100,0,0,0,72000,48
7,240096,-420178,-660274,1,11,1,10,90.90909091,9.090909091,8,3165,215705,60
8,10990,143370,132380,0,5,4,1,20,80,14,5827,7203,12
9,51873,-40950530,-41002403,0,10,4,6,60,40,13,12473,15906,18
10,14493,-937424,-951917,1,16,1,15,93.75,6.25,13,2523,356115,30
11,31379,-857230,-888609,1,11,0,11,100,0,0,0,216600,120
12,138,179829,179691,1,9,1,8,88.88888889,11.11111111,1,110,19000,13
13,29197,-1020864,-1050061,1,26,1,25,96.15384615,3.846153846,1,1092,184165,360
14,105600,983336,877736,0,8,1,7,87.5,12.5,13,37537,39900,90
15,13251,-4004,-17255,0,7,4,3,42.85714286,57.14285714,13,12447,10000,12
16,0,-2931,-2931,0,3,2,1,33.33333333,66.66666667,52,7128,10000,0
17,183533,22633,-160900,0,13,1,12,92.30769231,7.692307692,2,702,39000,59
18,102956,-3864,-106820,0,14,0,14,100,0,0,0,354721,360
19,16616,158060,141444,0,14,4,10,71.42857143,28.57142857,13,4334,50000,36
20,32982,-1397160,-1430142,0,6,3,3,50,50,13,20272,20272,1
21,16602,-234233,-250835,1,41,14,27,65.85365854,34.14634146,7,4141,20077,17.5
22,1907,-189636,-191543,1,12,3,9,75,25,13,1100,175920,48
23,134573,941304,806731,0,28,13,15,53.57142857,46.42857143,84,21849,23200,120
24,1863,1350518,1348655,1,26,1,25,96.15384615,3.846153846,13,1700,150000,900
25,4878,-67880,-72758,1,1,0,1,100,0,0,0,210000,60
26,13223,-33318,-46541,1,1,0,1,100,0,0,0,0,48
27,20024,2201720,2181696,1,38,2,36,94.73684211,5.263157895,1,649,82367,48
28,197,66250,66053,0,1,0,1,100,0,0,0,100,0
29,173,65634,65461,1,3,0,3,100,0,0,0,25000,0
30,91184,-57720,-148904,0,8,3,5,62.5,37.5,2,26385,95700,24
31,0,21216,21216,1,17,2,15,88.23529412,11.76470588,2,10276,254267,48
32,44324,-4681290,-4725614,1,51,10,41,80.39215686,19.60784314,57,6714,97592,24
33,16342,-209570,-225912,1,5,2,3,60,40,3,4018,201276,36
34,114721,-40770,-155491,0,15,6,9,60,40,13,66275,25800,90
35,1250,-92851,-94101,1,23,2,21,91.30434783,8.695652174,5,1100,317235,36
36,0,-1460,-1460,1,1,0,1,100,0,0,0,0,60
37,7736,126117,118381,1,9,1,8,88.88888889,11.11111111,1,576,256089,360
38,145211.5,-119160,-264371.5,1,18,2,16,88.88888889,11.11111111,11,12144,295519,360
39,29284,-13542,-42826,1,6,0,6,100,0,0,0,20000,0
40,13744,-718065,-731809,1,15,2,13,86.66666667,13.33333333,13,0,321281,150
41,223172,128358,-94814,0,18,8,10,55.55555556,44.44444444,13,220798,4451,37
42,52891,639,-52252,0,9,6,3,33.33333333,66.66666667,84,8410,21609,48
43,2445,188220,185775,1,15,1,14,93.33333333,6.666666667,1,924,145000,36
44,153026,309024,155998,0,37,16,21,56.75675676,43.24324324,8,3184,48500,48
45,69853,-836517,-906370,1,33,3,30,90.90909091,9.090909091,2,1337,28065,36
46,264746,-280757,-545503,0,223,19,204,91.47982063,8.520179372,84,54243,21609,54
47,145857,10588158,10442301,1,18,0,18,100,0,0,0,166727,360
48,32236,171912,139676,1,39,0,39,100,0,0,0,165270,360
49,2753,888701,885948,1,1,0,1,100,0,0,0,54050,0
50,29097,-1624205,-1653302,0,55,2,53,96.36363636,3.636363636,63,9649,0,25.5
51,6852,105365,98513,1,5,0,5,100,0,0,0,70000,0
52,133967,-144,-134111,0,8,4,4,50,50,84,47956,47956,120
53,1137,-833247,-834384,1,9,1,8,88.88888889,11.11111111,4,697,212720,53
54,7256,71588,64332,1,11,1,10,90.90909091,9.090909091,1,400,153308,360
55,1588,28251,26663,0,3,2,1,33.33333333,66.66666667,13,3440,20000,12
56,42964,-830664,-873628,0,72,14,58,80.55555556,19.44444444,13,5058,66000,18
57,6482,-332676,-339158,1,6,0,6,100,0,0,0,147600,36
58,8768,-172128,-180896,1,11,0,11,100,0,0,0,26000,60
59,4135,-308406,-312541,1,14,1,13,92.85714286,7.142857143,1,1469,30067,12
60,6048,-840,-6888,1,2,0,2,100,0,0,0,173343,60
61,21460,109584,88124,0,16,4,12,75,25,13,5958,767600,24
62,7372,-289600,-296972,1,10,0,10,100,0,0,0,165343,48
63,24116,7843,-16273,0,11,5,6,54.54545455,45.45454545,41,172465,173190,60
64,14018,190890,176872,1,9,0,9,100,0,0,0,52000,36
65,56448,1681900,1625452,0,10,2,8,80,20,13,5385,214866,48
66,26902,-39258,-66160,0,18,3,15,83.33333333,16.66666667,15,3489,25004,13
67,9789,-121231,-131020,1,11,0,11,100,0,0,0,148862,120
68,25095,130020,104925,0,22,6,16,72.72727273,27.27272727,13,21130,10000,25.5
69,31111,211554,180443,0,46,8,38,82.60869565,17.39130435,7,6170,13659,16.25
70,11841,-217008,-228849,1,8,0,8,100,0,0,0,30200,12
71,210754,46087,-164667,0,17,2,15,88.23529412,11.76470588,13,163716,214233,132
72,39893,257268,217375,1,12,0,12,100,0,0,0,66900,59.5
73,6886,-26103,-32989,1,21,5,16,76.19047619,23.80952381,1,1348,233734,360
74,45473,1126048,1080575,0,22,9,13,59.09090909,40.90909091,26,10220,20074,20
75,37870,-13782,-51652,0,6,1,5,83.33333333,16.66666667,13,13839,10192,1
76,17836,-100342,-118178,0,22,5,17,77.27272727,22.72727273,7,5447,82000,36
77,9793,-251950,-261743,1,10,0,10,100,0,0,0,142814,24
78,14175,-34842,-49017,0,6,3,3,50,50,13,15576,21609,36
79,49663,67844,18181,0,14,2,12,85.71428571,14.28571429,84,5085,21609,36
80,5061,-871750,-876811,0,25,2,23,92,8,11,4830,192682,60
81,40868,4287200,4246332,1,46,0,46,100,0,0,0,625837,1000
82,19272,-90458,-109730,0,31,4,27,87.09677419,12.90322581,13,14115,153754,36
83,6544,-102702,-109246,1,6,0,6,100,0,0,0,389372,72
84,11080,-1045,-12125,0,5,4,1,20,80,13,11080,11080,1
85,600,-3569918,-3570518,1,22,5,17,77.27272727,22.72727273,6,13770,17600,18
86,11881,-67925,-79806,1,11,0,11,100,0,0,0,211680,48
87,47528,2278876,2231348,1,262,6,256,97.70992366,2.290076336,1,2684,93301,36
88,17133,-103725,-120858,1,15,1,14,93.33333333,6.666666667,13,9448,171911,360
89,32333,14416,-17917,1,17,1,16,94.11764706,5.882352941,1,1372,146000,36
90,21452,883728,862276,1,17,2,15,88.23529412,11.76470588,2,4371,38999,60
91,49960,-344230,-394190,1,10,3,7,70,30,13,39810,199892,360
92,50548,4202,-46346,0,2,1,1,50,50,84,12637,7500,0
93,10593,-38496,-49089,0,16,5,11,68.75,31.25,6,1287,228898,360
94,193,154080,153887,1,8,0,8,100,0,0,0,50000,120
95,24504,-603152,-627656,1,16,0,16,100,0,0,0,400000,90
97,12044,3264219,3252175,0,27,18,9,33.33333333,66.66666667,7,2246,49613,24
98,15917,-1380925,-1396842,1,25,1,24,96,4,1,2640,377000,36
99,0,-9873,-9873,0,3,0,3,100,0,0,0,4000,0
100,37530,745745,708215,0,13,4,9,69.23076923,30.76923077,20,11407,10008,19.5
101,14900,-11820,-26720,0,6,1,5,83.33333333,16.66666667,13,13953,20000,0
102,56617,-42834,-99451,0,6,5,1,16.66666667,83.33333333,84,17988,17988,18
103,21361,355412876,355391515,1,91,1,90,98.9010989,1.098901099,9,8155,370000,360
104,25978,196248,170270,0,24,5,19,79.16666667,20.83333333,13,10626,21609,12
105,10235,476,-9759,0,2,0,2,100,0,0,0,0,1
106,1369,-2318,-3687,1,19,1,18,94.73684211,5.263157895,11,2240,100000,36
107,3691,-147992,-151683,1,4,0,4,100,0,0,0,280729,72
108,0,159348,159348,1,7,0,7,100,0,0,0,5357,1
109,1159,189688,188529,1,4,0,4,100,0,0,0,49000,1
110,18557,-33180,-51737,0,7,2,5,71.42857143,28.57142857,13,9127,14406,18
111,23636.66667,1993572,1969935.333,0,18,3,15,83.33333333,16.66666667,1,2898,500000,6.5
112,15790,8844,-6946,1,22,2,20,90.90909091,9.090909091,1,1711,97000,60
113,103398,84861,-18537,1,21,1,20,95.23809524,4.761904762,13,10220,20000,36
114,4273,-10100,-14373,0,5,0,5,100,0,0,0,7000,900
115,28742,99088,70346,0,22,6,16,72.72727273,27.27272727,9,6645,20000,37
116,340042,69060,-270982,0,20,5,15,75,25,13,11113,315604,360
117,26553,-250736,-277289,1,16,5,11,68.75,31.25,35,13138,203578,360
118,823242,-252630,-1075872,1,7,1,6,85.71428571,14.28571429,1,2663,36000,36
119,21864,2983,-18881,0,19,0,19,100,0,0,0,71624,360
120,195838,5512,-190326,0,13,3,10,76.92307692,23.07692308,84,1509,50001,13
121,5550,-36048,-41598,1,48,0,48,100,0,0,0,130000,900
122,75336,-1817895,-1893231,1,51,29,22,43.1372549,56.8627451,13,13255,127965,360
123,25920,2841328,2815408,1,14,0,14,100,0,0,0,12087,30
124,1102,-664930,-666032,1,10,1,9,90,10,1,1,77000,1
125,18916,-611184,-630100,1,51,19,32,62.74509804,37.25490196,6,402,357018,1000
126,39408,-1940687,-1980095,1,59,7,52,88.13559322,11.86440678,8,688,424625,48
127,1502,777156,775654,0,4,2,2,50,50,31,4801,2760,24
128,96904,-192570,-289474,1,5,0,5,100,0,0,0,75000,1
129,23273,1844220,1820947,1,30,5,25,83.33333333,16.66666667,9,1342,856000,90
130,3084575,-967842,-4052417,0,54,10,44,81.48148148,18.51851852,13,258801,350400,119
131,11415,-25279,-36694,1,17,7,10,58.82352941,41.17647059,1,1485,115405,360
132,324541,-243312,-567853,1,16,2,14,87.5,12.5,1,211,350000,72
133,4898,-147352,-152250,1,8,0,8,100,0,0,0,20900,48
134,173830,-22673,-196503,0,7,4,3,42.85714286,57.14285714,13,90813,90813,36
135,3265,-17112,-20377,0,4,2,2,50,50,13,552,7203,16
136,0,140182,140182,1,2,1,1,50,50,13,5311,0,1
137,7699,10812,3113,0,4,1,3,75,25,13,3173,14406,60
138,94841,-3597692,-3692533,0,14,4,10,71.42857143,28.57142857,84,13259,21609,17.5
139,5539,620424,614885,1,12,0,12,100,0,0,0,49999,36
140,15470,-372482,-387952,1,11,0,11,100,0,0,0,77200,59.5
141,235636,53746,-181890,1,22,0,22,100,0,0,0,138000,0
142,7109,-22645,-29754,1,5,0,5,100,0,0,0,10000,72
143,2300,-5400,-7700,0,27,15,12,44.44444444,55.55555556,11,6848,5000,25
144,300575,1909222,1608647,0,14,1,13,92.85714286,7.142857143,13,21892,64700,75
145,194169,25990,-168179,1,10,1,9,90,10,1,1943,20000,11.5
146,29920,1310301,1280381,0,3,0,3,100,0,0,0,272779,360
147,3768,-67800,-71568,1,20,0,20,100,0,0,0,126560,48
148,7957,570820,562863,1,5,1,4,80,20,13,735,34000,12
149,5452,1392768,1387316,1,18,1,17,94.44444444,5.555555556,4,1140,112721,36
150,52402,1561,-50841,0,7,3,4,57.14285714,42.85714286,13,32533,17300,3
151,63796,-1582725,-1646521,1,25,1,24,96,4,1,444,233338,900
152,0,-14403,-14403,0,1,0,1,100,0,0,0,2000,0
153,22962,-87423,-110385,0,7,1,6,85.71428571,14.28571429,13,2546,26855,36
154,132509,-1256255,-1388764,0,77,11,66,85.71428571,14.28571429,10,36018,20000,26
155,137862,-211059,-348921,1,27,4,23,85.18518519,14.81481481,13,156714,500000,900
156,0,5553,5553,0,3,1,2,66.66666667,33.33333333,84,8018,8018,1
157,25743,-5847648,-5873391,1,32,1,31,96.875,3.125,1,270,454519,450
158,73383,34974,-38409,0,9,3,6,66.66666667,33.33333333,13,2764,156595,360
159,29110,652912,623802,0,43,4,39,90.69767442,9.302325581,1,215239,209755,360
160,24424,131874,107450,1,6,1,5,83.33333333,16.66666667,1,3526,75000,71.5
161,86787,-3374112,-3460899,1,32,0,32,100,0,0,0,192800,71
162,1938,327468,325530,0,6,1,5,83.33333333,16.66666667,6,2303,21609,18
163,98467.41667,-3372336,-3470803.417,1,22,0,22,100,0,0,0,2000000,720
164,45150,-704,-45854,0,16,2,14,87.5,12.5,13,6233,195000,36
165,20375,-31697,-52072,0,29,7,22,75.86206897,24.13793103,2,1576,50276,36
166,48054,13977,-34077,0,9,3,6,66.66666667,33.33333333,84,11222,14406,1
167,123240,-298400,-421640,0,32,13,19,59.375,40.625,57,4562,41100,120
168,353641,2611206,2257565,0,13,2,11,84.61538462,15.38461538,13,123450,185497,360
169,63978,-303251,-367229,0,13,3,10,76.92307692,23.07692308,13,95880,242028,360
170,1336896,-184775,-1521671,0,25,1,24,96,4,7,20,442400,180
171,233952,196830,-37122,0,27,4,23,85.18518519,14.81481481,13,218909,117500,180
172,8970,23695,14725,1,7,0,7,100,0,0,0,50000,159
173,8653,52030,43377,1,10,1,9,90,10,1,3761,62600,120
174,27745,-74760,-102505,1,35,4,31,88.57142857,11.42857143,4,735,150000,90
175,4676,-849705,-854381,1,15,1,14,93.33333333,6.666666667,1,624,20000,60
176,7829,-118853,-126682,0,7,1,6,85.71428571,14.28571429,13,7463,7203,18
177,9688,3171,-6517,0,7,4,3,42.85714286,57.14285714,13,4301,14406,20
178,19496,216680,197184,1,8,0,8,100,0,0,0,3000,60
179,0,24970,24970,1,2,0,2,100,0,0,0,0,0
180,136074,2322,-133752,0,43,20,23,53.48837209,46.51162791,84,17777,1088043,48
181,238899,-3969,-242868,0,9,4,5,55.55555556,44.44444444,18,49769,13164,27.5
182,40418,68220,27802,1,20,0,20,100,0,0,0,147300,95
183,56702,1279179,1222477,1,27,0,27,100,0,0,0,73800,60
184,4619,-257760,-262379,0,15,3,12,80,20,6,724,74000,48
185,0,3822,3822,0,2,1,1,50,50,6,8152,6700,1
186,31642,566532,534890,0,9,1,8,88.88888889,11.11111111,13,2629,20000,60
187,12928,30527,17599,0,7,1,6,85.71428571,14.28571429,6,837,266320,360
188,630,169688,169058,1,4,0,4,100,0,0,0,0,1
189,12179,12325,146,1,5,0,5,100,0,0,0,13580,0
190,128028,-90074875,-90202903,1,25,0,25,100,0,0,0,1814240,0
191,11791,-867504,-879295,1,11,1,10,90.90909091,9.090909091,1,289,155868,36
192,1290,267828,266538,1,6,0,6,100,0,0,0,184343,1
193,451612,-1486720,-1938332,0,40,9,31,77.5,22.5,13,213301,1107000,360
194,6047,-2205,-8252,1,21,4,17,80.95238095,19.04761905,4,2716,14700,1
195,8965,21060,12095,1,13,0,13,100,0,0,0,170739,60
196,86482,920,-85562,0,8,3,5,62.5,37.5,25,75809,77001,900
197,118344,1586040,1467696,0,8,1,7,87.5,12.5,13,122020,444000,72
198,36712,98460,61748,0,9,5,4,44.44444444,55.55555556,84,14536,210255,360
199,114842,271092,156250,0,57,26,31,54.38596491,45.61403509,13,11136,22206,26
200,732,696,-36,1,8,5,3,37.5,62.5,4,1381,8000,90
201,16109,294903,278794,0,3,1,2,66.66666667,33.33333333,84,4700,249135,36
202,47686,167499,119813,0,3,1,2,66.66666667,33.33333333,13,1406,268720,60
203,10676,214620,203944,1,30,6,24,80,20,13,3088,228915,360
204,56336,-380952,-437288,0,12,1,11,91.66666667,8.333333333,13,39841,39841,335
205,19609.25,-484050,-503659.25,1,30,2,28,93.33333333,6.666666667,2,1572,372314,300
206,140178,-25550,-165728,1,14,1,13,92.85714286,7.142857143,1,714,169851,48
207,12002,-68064,-80066,1,8,0,8,100,0,0,0,25650,36
208,7106,-12222,-19328,1,9,2,7,77.77777778,22.22222222,4,1000,45545,216
209,7622,-128982,-136604,1,21,5,16,76.19047619,23.80952381,24,2553,20072,24
210,17738,49950,32212,0,9,0,9,100,0,0,0,12881,18
211,34136,-262444,-296580,1,13,1,12,92.30769231,7.692307692,13,3806,1233723,360
212,813,342288,341475,1,9,0,9,100,0,0,0,11500,73
213,215858,-24835113,-25050971,1,153,12,141,92.15686275,7.843137255,6,102785,179351,36
214,20785,-263705,-284490,1,13,0,13,100,0,0,0,612000,240
215,4129,476469,472340,1,7,0,7,100,0,0,0,10000,13
216,46501,14148,-32353,0,9,5,4,44.44444444,55.55555556,13,19364,184515,360
217,31489,-709434,-740923,0,11,6,5,45.45454545,54.54545455,3,6647,31300,12
218,5706,3136,-2570,1,16,0,16,100,0,0,0,196055,360
219,188060,-3558919,-3746979,0,91,21,70,76.92307692,23.07692308,13,18580,359443,120
220,122867,-405972,-528839,0,18,6,12,66.66666667,33.33333333,54,2595,96100,54
221,24686,-10990,-35676,1,2,0,2,100,0,0,0,120000,18
222,1282,-4662,-5944,1,6,1,5,83.33333333,16.66666667,1,1687,12500,36
223,65843.25,1361877,1296033.75,0,33,14,19,57.57575758,42.42424242,30,10755,338712,60
224,69141,-96778,-165919,1,22,3,19,86.36363636,13.63636364,13,1269,204964,360
225,7426,-493,-7919,1,17,6,11,64.70588235,35.29411765,4,2773,4000,1000
226,68365,926012,857647,0,2,0,2,100,0,0,0,1396,0
227,8722,-6741448,-6750170,1,7,0,7,100,0,0,0,190000,180
228,35857,16820,-19037,0,10,0,10,100,0,0,0,36999,900
229,203159,28629,-174530,0,9,2,7,77.77777778,22.22222222,13,114346,48000,90
230,6369,-520416,-526785,1,12,0,12,100,0,0,0,167000,48
231,17810,-937135,-954945,1,23,0,23,100,0,0,0,221718,312
232,10632,288,-10344,1,9,1,8,88.88888889,11.11111111,1,4655,50000,36
233,234625,-630062,-864687,1,23,0,23,100,0,0,0,226690,360
234,12827,410723,397896,0,19,5,14,73.68421053,26.31578947,18,5680,40000,36
235,35411,8310,-27101,0,5,0,5,100,0,0,0,40800,120
236,17121,1277125,1260004,1,5,0,5,100,0,0,0,305000,36
237,215300,42483,-172817,0,17,3,14,82.35294118,17.64705882,13,26050,324071,360
238,5198,-7900,-13098,1,2,0,2,100,0,0,0,289761,72
239,6279,118632,112353,0,4,1,3,75,25,4,656,860,361
240,0,-31892,-31892,1,7,0,7,100,0,0,0,20000,1
241,10747,-20802,-31549,1,6,1,5,83.33333333,16.66666667,84,5460,162158,12
242,149421,-234450,-383871,0,15,0,15,100,0,0,0,92800,60
243,15374,-31142,-46516,0,23,4,19,82.60869565,17.39130435,61,12213,256476,360
244,49235,-3056900,-3106135,1,50,0,50,100,0,0,0,800101,360
245,1722,45975,44253,0,5,2,3,60,40,13,1100,14406,12
246,3145,-8051784,-8054929,1,26,14,12,46.15384615,53.84615385,13,1639,184560,19.5
247,25940,241748,215808,0,26,9,17,65.38461538,34.61538462,13,13608,41389,12
248,19456,1860,-17596,0,10,4,6,60,40,13,9511,9511,18
249,21214,-43602,-64816,0,13,3,10,76.92307692,23.07692308,13,2106,20000,12
250,5873,173710,167837,1,10,0,10,100,0,0,0,227788,48
251,53213,-1616,-54829,0,8,3,5,62.5,37.5,84,15778,20000,1
252,93730,29628,-64102,0,12,1,11,91.66666667,8.333333333,57,12271,25000,30
253,4446,-302524,-306970,0,4,2,2,50,50,8,1045,31000,25
254,22389,15234,-7155,0,3,2,1,33.33333333,66.66666667,60,5416,82800,18
255,6418,-353551,-359969,1,11,1,10,90.90909091,9.090909091,1,1090,71800,36
256,0,-23432,-23432,1,4,0,4,100,0,0,0,0,60
257,27401,-14022,-41423,0,38,11,27,71.05263158,28.94736842,16,44178,24000,60
258,98642,-571896,-670538,1,24,0,24,100,0,0,0,511600,240
259,8044,-90153,-98197,0,21,7,14,66.66666667,33.33333333,13,2891,10000,95
260,635,816,181,1,6,0,6,100,0,0,0,60379,360
261,212935,38607,-174328,0,17,10,7,41.17647059,58.82352941,13,37663,193809,360
262,17106,-344934,-362040,0,9,1,8,88.88888889,11.11111111,13,13230,136000,48
263,41988,-5797512,-5839500,1,72,9,63,87.5,12.5,2,5760,241952,48
264,13803,-1554582,-1568385,1,17,0,17,100,0,0,0,460440,72
265,85822,79680,-6142,0,15,1,14,93.33333333,6.666666667,13,31157,16650,18
266,1006,2655774,2654768,1,6,1,5,83.33333333,16.66666667,1,35,66100,36
267,18153,-34450,-52603,0,5,0,5,100,0,0,0,100,1
268,5811,-307832,-313643,1,14,1,13,92.85714286,7.142857143,1,700,175208,48
269,1601,-4384096,-4385697,1,16,0,16,100,0,0,0,88000,59.5
270,733830,-1103817,-1837647,0,33,6,27,81.81818182,18.18181818,13,300033,40000,1000
271,19285.5,-66671,-85956.5,0,19,9,10,52.63157895,47.36842105,18,8411,20062,24
272,24987,-29582,-54569,1,14,0,14,100,0,0,0,37000,301
273,855,-17022,-17877,1,6,0,6,100,0,0,0,20000,18
274,23166,-15635,-38801,1,5,0,5,100,0,0,0,291999,360
275,62,48,-14,1,2,0,2,100,0,0,0,5000,0
276,0,-5318,-5318,0,2,0,2,100,0,0,0,12000,0
277,0,132356,132356,1,7,3,4,57.14285714,42.85714286,13,10319,7306,30
278,4639,-53319,-57958,1,7,1,6,85.71428571,14.28571429,13,2139,1600,3
279,42926,-140080,-183006,0,34,2,32,94.11764706,5.882352941,13,548,13000,12
280,25372,-36506866,-36532238,1,22,5,17,77.27272727,22.72727273,13,8983,30000,288
281,2599,-8548272,-8550871,1,9,0,9,100,0,0,0,1397,36
282,0,-13430,-13430,1,2,0,2,100,0,0,0,10000,0
283,20806,-35448,-56254,1,12,2,10,83.33333333,16.66666667,31,10800,34000,1000
284,26666,-61392,-88058,0,12,1,11,91.66666667,8.333333333,13,7057,11900,12
285,4857,-32130,-36987,0,9,0,9,100,0,0,0,22000,90
286,0,-80226,-80226,1,2,0,2,100,0,0,0,0,1
287,56496,-7780347,-7836843,1,53,32,21,39.62264151,60.37735849,13,45656,42933,25
288,183874,4650,-179224,0,5,1,4,80,20,3,23522,35949,0
289,21890,-529158,-551048,1,42,0,42,100,0,0,0,212741,360
290,7781,-756700,-764481,1,23,4,19,82.60869565,17.39130435,12,11145,41000,60
291,13577,-198580,-212157,0,4,0,4,100,0,0,0,42400,120
292,422760.1667,-248130,-670890.1667,0,18,8,10,55.55555556,44.44444444,39,27526,150000,360
293,4528,49998,45470,1,26,11,15,57.69230769,42.30769231,15,5224,110000,900
294,26387,-17676,-44063,0,9,2,7,77.77777778,22.22222222,13,11075,6005,12
295,88859,-25183964,-25272823,1,26,2,24,92.30769231,7.692307692,2,7566,850000,1000
296,22150,240924,218774,1,17,3,14,82.35294118,17.64705882,7,1275,423093,72
297,11372,-140070,-151442,0,30,6,24,80,20,13,5297,63500,4
298,100799,-1317485,-1418284,1,13,1,12,92.30769231,7.692307692,1,3598,452515,72
299,874,-39210,-40084,1,10,1,9,90,10,1,1799,14500,0
300,4234,-17367,-21601,0,7,2,5,71.42857143,28.57142857,13,2751,15238,1
301,1901,-10528,-12429,1,4,0,4,100,0,0,0,219899,360
302,5800,-52105,-57905,0,17,4,13,76.47058824,23.52941176,6,2766,10000,12
303,106558,-24282,-130840,0,18,6,12,66.66666667,33.33333333,57,39278,250999,360
304,67330,-888132,-955462,1,21,0,21,100,0,0,0,520344,90
305,213338,27624432,27411094,1,88,1,87,98.86363636,1.136363636,1,6159,3000000,180
306,36488,49968,13480,0,24,12,12,50,50,47,13844,123190,78
307,28417,-5995055,-6023472,1,55,1,54,98.18181818,1.818181818,8,790,235999,360
308,83411,-115388,-198799,0,13,5,8,61.53846154,38.46153846,84,10480,35000,1000
309,42510,81875,39365,1,25,0,25,100,0,0,0,261866,360
310,5210,1840,-3370,0,4,1,3,75,25,2,1519,100,4
311,31175,-42072,-73247,0,8,0,8,100,0,0,0,25500,36
312,7789,2763247,2755458,1,31,8,23,74.19354839,25.80645161,2,2505,177900,120
313,49002,-760921,-809923,1,49,0,49,100,0,0,0,285340,60
314,28900,-1270098,-1298998,0,246,11,235,95.52845528,4.471544715,10,9996,80000,48
315,705,-4488,-5193,1,8,3,5,62.5,37.5,6,18623,15000,12
316,12732,-63120,-75852,1,6,2,4,66.66666667,33.33333333,10,1990,126000,900
317,55653,30254,-25399,0,7,2,5,71.42857143,28.57142857,13,44224,151100,90
318,766,168036,167270,0,4,2,2,50,50,17,35097,9000,6
319,111530,107760,-3770,0,24,14,10,41.66666667,58.33333333,84,48328,13800,360
320,24523,471744,447221,1,18,0,18,100,0,0,0,1234875,360
321,6963,-310928,-317891,1,16,0,16,100,0,0,0,41700,59.5
322,33825,62950,29125,0,25,4,21,84,16,13,2471,107700,18
323,27366,54250,26884,0,5,0,5,100,0,0,0,0,1
324,475,-33712,-34187,1,1,0,1,100,0,0,0,10000,0
